Handle,CRating1,CRating2,CRating3,CRating4,CRating5,CRank1,CRank2,CRank3,CRank4,CRank5,CC,CAcc
shubhamsonar,1885,1908,1945,1934,1894,907,1340,298,96,263,188,0.86
rachitcoder26,1885,1866,1826,1798,1813,288,127,431,1173,146,207,0.92
yazanalattar,1885,1952,1835,1898,1875,619,42,792,231,3,23,0.92
babber_manav,1884,1836,1823,1862,1836,62,577,1483,289,149,408,0.92
guoshuai1017,1884,1906,1903,1875,1914,634,436,188,1630,189,116,0.85
ahmed_7oskaa,1884,1933,1955,1957,2008,978,789,605,149,90,122,0.88
ro27,1884,1880,1877,1894,1883,312,385,632,264,605,453,0.79
samarth_kgp,1884,1864,1826,1786,1754,202,101,91,300,687,78,0.78
hardik_836,1884,1923,1900,1857,1804,1326,415,201,64,155,137,0.82
b_2_k,1884,1876,1874,1839,1859,633,563,124,808,117,90,0.81
rahulmittall,1884,1858,1853,1889,1879,330,739,1527,559,150,65,0.82
rohan_pareek14,1884,1865,1828,1803,1790,383,85,370,501,519,99,0.75
ritesh_k_g1,1884,1859,1859,1852,1864,256,722,472,1068,1577,125,0.87
my_husky,1884,1852,1816,1846,1842,160,213,1050,577,636,87,0.89
roonie,1884,1821,1809,1810,1684,106,432,516,190,395,51,0.94
mananjainmj,1884,1913,1914,1865,1831,618,280,28,164,1141,202,0.82
ronakkhandlwl,1883,1838,1793,1739,1709,141,223,67,478,228,112,0.82
ac121102,1883,1924,1900,1886,1843,886,159,310,152,796,138,0.83
atharva_2570,1883,1894,1889,1869,1825,639,556,350,128,561,52,0.9
aum_1609,1883,1845,1717,1661,1426,310,51,653,10,288,77,0.82
nitin_dholera,1883,1841,1864,1897,1871,52,645,851,212,1476,121,0.92
bajpaipranjal9,1883,1882,1864,1878,1870,318,248,684,444,902,121,0.96
eslam_ahmed,1883,1857,1842,1846,1836,156,381,821,500,305,65,0.84
totsamiymunis,1883,1908,1647,nan,nan,591,26,80,nan,nan,21,0.84
paladarsh,1882,1850,1847,1814,1771,145,398,152,17,841,399,0.83
nayan6119,1882,1880,1838,1796,1819,602,198,295,1191,1854,140,0.79
misharta,1882,1873,1868,1918,1911,466,588,1495,494,1565,149,0.71
ar_rony1,1882,1840,1802,1787,1757,40,96,637,254,731,119,0.77
vikas_3523,1882,1855,1818,1763,1746,226,210,21,772,837,158,0.77
a_d_i_t_y_a1,1882,1887,1932,1910,1875,562,163,267,138,671,78,0.78
kamalkish0r,1882,1906,1896,1907,1929,774,249,602,1069,379,288,0.79
sirvi_26,1882,1916,1959,1967,1999,1042,1317,430,169,174,196,0.77
mahim47,1882,1916,1882,1868,1878,1118,126,500,818,538,69,0.84
sanwal_aditya,1882,1850,1822,1761,1740,324,322,55,893,656,52,0.87
cortana29,1882,1826,1776,1732,1752,28,37,76,3657,1437,83,0.81
nihdaws_808,1882,1817,1820,1839,1811,35,777,918,353,894,48,0.81
sky_stalker09,1882,1886,1859,1875,1862,618,217,767,517,544,64,0.85
moddi,1882,1945,1909,1825,1868,781,169,78,738,14,54,0.84
trupalpatel,1882,1844,1879,1864,1885,194,1412,359,1205,187,63,0.83
kasiru_reborn,1882,1907,1874,1900,1910,1179,201,1108,518,597,96,0.88
kyojurorengoku,1882,1923,1919,1905,1854,929,343,238,113,588,62,0.71
swarnava123,1881,1771,1761,1659,1360,40,568,366,4,943,51,0.88
aanupam29,1881,1922,1870,1828,1787,1502,32,153,166,229,87,0.7
abhiprayasinha,1881,1838,1822,1820,1772,48,376,787,78,689,70,0.9
rakesh272611,1881,1907,1921,1895,1913,1196,938,291,987,777,342,0.81
atharva1583,1881,1898,1868,1855,1864,671,123,279,783,49,247,0.86
dhruv1807,1881,1900,1906,1873,1846,636,633,146,275,766,196,0.83
madonna_486,1881,1892,1924,1901,1876,735,1248,237,334,207,174,0.87
saint_123,1881,1873,1858,1865,1891,198,258,523,742,296,154,0.8
ankush_m1106,1881,1859,1850,1817,1783,257,336,204,137,391,88,0.95
sloppy_code,1881,1308,670,nan,nan,17,55,12267,nan,nan,20,0.83
ktham,1881,1948,1829,1660,1295,1292,35,37,121,256,31,0.84
antonio77,1881,1844,1798,1777,1811,118,57,375,1197,992,64,0.85
keshav_garg10,1881,1893,1906,1904,1922,908,684,660,1152,723,100,0.88
vishesh13byte,1881,1873,1826,1849,1780,615,268,801,188,704,95,0.97
zoharbarak,1881,1721,1300,1683,nan,69,218,1641,59,nan,26,0.79
rudra_1103,1881,1777,1777,1702,nan,101,621,366,47,nan,14,0.93
coder_pulkit_s,1881,1865,1833,1785,1729,577,365,300,309,349,34,0.94
